ID,wav,wav_format,start,stop,duration,language_family,language_name
0,/localscratch/guest442.635603.0/common_voice_kpd/Arabic/train/ara_trn_sp_1/common_voice_ar_19221982.wav,.wav,0,70656,4.416,Semitic,Arabic
1,/localscratch/guest442.635603.0/common_voice_kpd/Arabic/train/ara_trn_sp_1/common_voice_ar_19248574.wav,.wav,0,70656,4.416,Semitic,Arabic
2,/localscratch/guest442.635603.0/common_voice_kpd/Arabic/train/ara_trn_sp_1/common_voice_ar_19251227.wav,.wav,0,66816,4.176,Semitic,Arabic
3,/localscratch/guest442.635603.0/common_voice_kpd/Arabic/train/ara_trn_sp_1/common_voice_ar_19299441.wav,.wav,0,50304,3.144,Semitic,Arabic
4,/localscratch/guest442.635603.0/common_voice_kpd/Arabic/train/ara_trn_sp_1/common_voice_ar_19317460.wav,.wav,0,51456,3.216,Semitic,Arabic
5,/localscratch/guest442.635603.0/common_voice_kpd/Arabic/train/ara_trn_sp_10/common_voice_ar_19350418.wav,.wav,0,51456,3.216,Semitic,Arabic
6,/localscratch/guest442.635603.0/common_voice_kpd/Arabic/train/ara_trn_sp_10/common_voice_ar_19356231.wav,.wav,0,75264,4.704,Semitic,Arabic
7,/localscratch/guest442.635603.0/common_voice_kpd/Arabic/train/ara_trn_sp_10/common_voice_ar_19361814.wav,.wav,0,44544,2.784,Semitic,Arabic
8,/localscratch/guest442.635603.0/common_voice_kpd/Arabic/train/ara_trn_sp_10/common_voice_ar_19370849.wav,.wav,0,39936,2.496,Semitic,Arabic
9,/localscratch/guest442.635603.0/common_voice_kpd/Arabic/train/ara_trn_sp_10/common_voice_ar_19375666.wav,.wav,0,54144,3.384,Semitic,Arabic
10,/localscratch/guest442.635603.0/common_voice_kpd/Arabic/train/ara_trn_sp_100/common_voice_ar_19749067.wav,.wav,0,86784,5.424,Semitic,Arabic
11,/localscratch/guest442.635603.0/common_voice_kpd/Arabic/train/ara_trn_sp_100/common_voice_ar_19749069.wav,.wav,0,75264,4.704,Semitic,Arabic
12,/localscratch/guest442.635603.0/common_voice_kpd/Arabic/train/ara_trn_sp_100/common_voice_ar_19749070.wav,.wav,0,93696,5.856,Semitic,Arabic
13,/localscratch/guest442.635603.0/common_voice_kpd/Arabic/train/ara_trn_sp_100/common_voice_ar_19749071.wav,.wav,0,57216,3.576,Semitic,Arabic
14,/localscratch/guest442.635603.0/common_voice_kpd/Arabic/train/ara_trn_sp_101/common_voice_ar_19785100.wav,.wav,0,76416,4.776,Semitic,Arabic
15,/localscratch/guest442.635603.0/common_voice_kpd/Arabic/train/ara_trn_sp_101/common_voice_ar_19785102.wav,.wav,0,61440,3.84,Semitic,Arabic
16,/localscratch/guest442.635603.0/common_voice_kpd/Arabic/train/ara_trn_sp_101/common_voice_ar_19785103.wav,.wav,0,46464,2.904,Semitic,Arabic
17,/localscratch/guest442.635603.0/common_voice_kpd/Arabic/train/ara_trn_sp_102/common_voice_ar_19963352.wav,.wav,0,75264,4.704,Semitic,Arabic
18,/localscratch/guest442.635603.0/common_voice_kpd/Arabic/train/ara_trn_sp_102/common_voice_ar_19963353.wav,.wav,0,86016,5.376,Semitic,Arabic
19,/localscratch/guest442.635603.0/common_voice_kpd/Arabic/train/ara_trn_sp_102/common_voice_ar_19963354.wav,.wav,0,82944,5.184,Semitic,Arabic
20,/localscratch/guest442.635603.0/common_voice_kpd/Arabic/train/ara_trn_sp_102/common_voice_ar_19963355.wav,.wav,0,82176,5.136,Semitic,Arabic
21,/localscratch/guest442.635603.0/common_voice_kpd/Arabic/train/ara_trn_sp_103/common_voice_ar_19436622.wav,.wav,0,70656,4.416,Semitic,Arabic
22,/localscratch/guest442.635603.0/common_voice_kpd/Arabic/train/ara_trn_sp_103/common_voice_ar_19436624.wav,.wav,0,47616,2.976,Semitic,Arabic
23,/localscratch/guest442.635603.0/common_voice_kpd/Arabic/train/ara_trn_sp_103/common_voice_ar_19436625.wav,.wav,0,42624,2.664,Semitic,Arabic
24,/localscratch/guest442.635603.0/common_voice_kpd/Arabic/train/ara_trn_sp_105/common_voice_ar_19964896.wav,.wav,0,78336,4.896,Semitic,Arabic
25,/localscratch/guest442.635603.0/common_voice_kpd/Arabic/train/ara_trn_sp_105/common_voice_ar_19964898.wav,.wav,0,57216,3.576,Semitic,Arabic
26,/localscratch/guest442.635603.0/common_voice_kpd/Arabic/train/ara_trn_sp_105/common_voice_ar_19964899.wav,.wav,0,55296,3.456,Semitic,Arabic
27,/localscratch/guest442.635603.0/common_voice_kpd/Arabic/train/ara_trn_sp_106/common_voice_ar_20565344.wav,.wav,0,81024,5.064,Semitic,Arabic
28,/localscratch/guest442.635603.0/common_voice_kpd/Arabic/train/ara_trn_sp_106/common_voice_ar_20565346.wav,.wav,0,70656,4.416,Semitic,Arabic
29,/localscratch/guest442.635603.0/common_voice_kpd/Arabic/train/ara_trn_sp_106/common_voice_ar_20565347.wav,.wav,0,86016,5.376,Semitic,Arabic
30,/localscratch/guest442.635603.0/common_voice_kpd/Arabic/train/ara_trn_sp_106/common_voice_ar_20565350.wav,.wav,0,40704,2.544,Semitic,Arabic
31,/localscratch/guest442.635603.0/common_voice_kpd/Arabic/train/ara_trn_sp_107/common_voice_ar_19103182.wav,.wav,0,63744,3.984,Semitic,Arabic
32,/localscratch/guest442.635603.0/common_voice_kpd/Arabic/train/ara_trn_sp_107/common_voice_ar_19103183.wav,.wav,0,56064,3.504,Semitic,Arabic
33,/localscratch/guest442.635603.0/common_voice_kpd/Arabic/train/ara_trn_sp_107/common_voice_ar_19103184.wav,.wav,0,59904,3.744,Semitic,Arabic
34,/localscratch/guest442.635603.0/common_voice_kpd/Arabic/train/ara_trn_sp_107/common_voice_ar_19103186.wav,.wav,0,75264,4.704,Semitic,Arabic
35,/localscratch/guest442.635603.0/common_voice_kpd/Arabic/train/ara_trn_sp_108/common_voice_ar_19212440.wav,.wav,0,82944,5.184,Semitic,Arabic
36,/localscratch/guest442.635603.0/common_voice_kpd/Arabic/train/ara_trn_sp_108/common_voice_ar_19212442.wav,.wav,0,40704,2.544,Semitic,Arabic
37,/localscratch/guest442.635603.0/common_voice_kpd/Arabic/train/ara_trn_sp_108/common_voice_ar_19212443.wav,.wav,0,31104,1.944,Semitic,Arabic
38,/localscratch/guest442.635603.0/common_voice_kpd/Arabic/train/ara_trn_sp_108/common_voice_ar_19212444.wav,.wav,0,42624,2.664,Semitic,Arabic
39,/localscratch/guest442.635603.0/common_voice_kpd/Arabic/train/ara_trn_sp_109/common_voice_ar_19476979.wav,.wav,0,87936,5.496,Semitic,Arabic
40,/localscratch/guest442.635603.0/common_voice_kpd/Arabic/train/ara_trn_sp_109/common_voice_ar_19476981.wav,.wav,0,39936,2.496,Semitic,Arabic
41,/localscratch/guest442.635603.0/common_voice_kpd/Arabic/train/ara_trn_sp_109/common_voice_ar_19476982.wav,.wav,0,78336,4.896,Semitic,Arabic
42,/localscratch/guest442.635603.0/common_voice_kpd/Arabic/train/ara_trn_sp_11/common_voice_ar_19216539.wav,.wav,0,38400,2.4,Semitic,Arabic
43,/localscratch/guest442.635603.0/common_voice_kpd/Arabic/train/ara_trn_sp_11/common_voice_ar_19217026.wav,.wav,0,51072,3.192,Semitic,Arabic
